alpine_url;arch;bdate;branch;description;license;maintainer;name;pkg_url;repo;version
https://gitlab.com/cryptsetup/cryptsetup;armv7;2018-11-11 13:39:23;edge;Cryptsetup shared library;GPL-2.0-or-later;Natanael Copa;cryptsetup1-libs;/package/edge/main/armv7/cryptsetup1-libs;main;1.7.5-r4
https://gitlab.com/cryptsetup/cryptsetup;armv7;2018-11-11 13:39:23;edge;Userspace setup tool for transparent encryption of block devices using the Linux 2.6 cryptoapi (development files);GPL-2.0-or-later;Natanael Copa;cryptsetup1-dev;/package/edge/main/armv7/cryptsetup1-dev;main;1.7.5-r4
https://gitlab.com/cryptsetup/cryptsetup;armv7;2018-11-11 13:39:23;edge;Userspace setup tool for transparent encryption of block devices using the Linux 2.6 cryptoapi (documentation);GPL-2.0-or-later;Natanael Copa;cryptsetup1-doc;/package/edge/main/armv7/cryptsetup1-doc;main;1.7.5-r4
https://gitlab.com/cryptsetup/cryptsetup;armv7;2018-11-11 13:39:23;edge;Userspace setup tool for transparent encryption of block devices using the Linux 2.6 cryptoapi;GPL-2.0-or-later;Natanael Copa;cryptsetup1;/package/edge/main/armv7/cryptsetup1;main;1.7.5-r4
http://www.libsdl.org/projects/SDL_mixer/;armv7;2018-11-09 20:52:13;edge;A simple multi-channel audio mixer;GPL;Natanael Copa;sdl_mixer;/package/edge/main/armv7/sdl_mixer;main;1.2.12-r1
http://www.libsdl.org/projects/SDL_mixer/;armv7;2018-11-09 20:52:12;edge;A simple multi-channel audio mixer (development files);GPL;Natanael Copa;sdl_mixer-dev;/package/edge/main/armv7/sdl_mixer-dev;main;1.2.12-r1
https://www.opus-codec.org/;armv7;2018-11-09 20:48:58;edge;A high-level API for decoding and seeking within .opus files (development files);BSD-3-Clause;Natanael Copa;opusfile-dev;/package/edge/main/armv7/opusfile-dev;main;0.11-r1
https://www.opus-codec.org/;armv7;2018-11-09 20:48:58;edge;A high-level API for decoding and seeking within .opus files;BSD-3-Clause;Natanael Copa;opusfile;/package/edge/main/armv7/opusfile;main;0.11-r1
https://www.opus-codec.org/;armv7;2018-11-09 20:48:58;edge;A high-level API for decoding and seeking within .opus files (documentation);BSD-3-Clause;Natanael Copa;opusfile-doc;/package/edge/main/armv7/opusfile-doc;main;0.11-r1
http://horms.net/projects/perdition/;armv7;2018-11-09 20:48:11;edge;A Mail retrieval proxy;LGPL;Leonardo Arena;perdition;/package/edge/main/armv7/perdition;main;2.2-r0
http://horms.net/projects/perdition/;armv7;2018-11-09 20:48:10;edge;A Mail retrieval proxy (documentation);LGPL;Leonardo Arena;perdition-doc;/package/edge/main/armv7/perdition-doc;main;2.2-r0
https://github.com/ncopa/gapk;armv7;2018-11-09 20:44:57;edge;simple GTK frontend for apk-tools;GPL-2.0;Natanael Copa;gapk;/package/edge/main/armv7/gapk;main;0.1-r1
